Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Assembly Sequencing Tech	CheckM completeness	CheckM contamination
GCF_000711795.1	ASM71179v1	Vibrio pacinii DSM 19139	1123494		DSM 19139					GCF_000711795.1-RS_2024_05_02	4304676	Scaffold	2014-06-25	JONH01	243217	292855	53	Illumina HiSeq 2000	99.88	0.31
GCA_014050145.1	ASM1405014v1	Vibrio marinisediminis	2758441		404					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4588813	Contig	2020-08-03	JACFYF01	242929			Illumina HiSeq	99.67	0.68
GCF_014050145.1	ASM1405014v1	Vibrio marinisediminis	2758441		404					GCF_014050145.1-RS_2024_08_01	4588813	Contig	2020-08-03	JACFYF01	242929			Illumina HiSeq	99.67	0.68
GCA_003026475.1	ASM302647v1	Photobacterium lipolyticum	266810		DSM 16190					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4943313	Contig	2018-03-31	PYMC01	234029			Illumina MiSeq	92.6	3.43
GCF_003026475.1	ASM302647v1	Photobacterium lipolyticum	266810		DSM 16190					GCF_003026475.1-RS_2024_05_03	4943313	Contig	2018-03-31	PYMC01	234029			Illumina MiSeq	92.6	3.43
GCA_019209835.1	ASM1920983v1	Enterovibrio paralichthyis	2853805		NIFS-20-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5440368	Contig	2021-07-13	JAHUTS01	231846			Illumina MiSeq	87.72	6.73
GCF_019209835.1	ASM1920983v1	Enterovibrio paralichthyis	2853805		NIFS-20-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5440368	Contig	2021-07-13	JAHUTS01	231846			Illumina MiSeq	87.72	6.73
GCA_003026455.1	ASM302645v1	Photobacterium rosenbergii	294936		DSM 19138					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6354436	Contig	2018-03-31	PYMB01	230668			Illumina MiSeq	97.01	5.02
GCF_003026455.1	ASM302645v1	Photobacterium rosenbergii	294936		DSM 19138					GCF_003026455.1-RS_2024_03_14	6354436	Contig	2018-03-31	PYMB01	230668			Illumina MiSeq	97.01	5.02
GCA_001995985.1	ASM199598v1	Salinivibrio sharmensis	390883		DSM 18182					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3326895	Contig	2017-02-14	MUFC01	229272			Illumina MiSeq	93.79	0.66
GCF_001995985.1	ASM199598v1	Salinivibrio sharmensis	390883		DSM 18182					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3326895	Contig	2017-02-14	MUFC01	229272			Illumina MiSeq	93.79	0.66
GCA_000967545.1	S2757	Vibrio galatheae	579748		S2757					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4065199	Contig	2015-04-01	JXXV01	228481			Illumina HiSeq	99.48	0.77
GCF_000967545.1	S2757	Vibrio galatheae	579748		S2757					GCF_000967545.1-RS_2024_03_28	4065199	Contig	2015-04-01	JXXV01	228481			Illumina HiSeq	99.48	0.77
GCA_026191635.1	ASM2619163v1	Photobacterium obscurum	2829490		SDRW27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5840073	Contig	2022-11-15	JAKRRW01	223542			Illumina	96.79	7.29
GCF_026191635.1	ASM2619163v1	Photobacterium obscurum	2829490		SDRW27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5840073	Contig	2022-11-15	JAKRRW01	223542			Illumina	96.79	7.29
GCA_028863985.1	ASM2886398v1	Vibrio chanodichtyis	3027932		DSL-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3070936	Scaffold	2023-02-26	JARBFT01	218056	265827	45	Illumina	91.58	0.47
GCF_028863985.1	ASM2886398v1	Vibrio chanodichtyis	3027932		DSL-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3070936	Scaffold	2023-02-26	JARBFT01	218056	265827	45	Illumina	91.58	0.47
GCA_001559595.1	CAIM912T.1	Enterovibrio coralii	294935		CAIM 912					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5501999	Contig	2016-02-11	LNTY01	215839			IonTorrent	76.22	6.43
GCF_001559595.1	CAIM912T.1	Enterovibrio coralii	294935		CAIM 912					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5501999	Contig	2016-02-11	LNTY01	215839			IonTorrent	76.22	6.43
GCA_022836845.1	ASM2283684v1	Vibrio gelatinilyticus	2893468		ZSDZ34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4299233	Contig	2022-04-08	JAJNNZ01	214014			Illumina	98.6	1.53
GCF_022836845.1	ASM2283684v1	Vibrio gelatinilyticus	2893468		ZSDZ34					GCF_022836845.1-RS_2024_04_20	4299233	Contig	2022-04-08	JAJNNZ01	214014			Illumina	98.6	1.53
GCA_012641465.1	ASM1264146v1	Vibrio agarilyticus	2726741		SM6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4352422	Contig	2020-04-21	JABAIK01	211829			Illumina	97.85	0.57
GCF_012641465.1	ASM1264146v1	Vibrio agarilyticus	2726741		SM6					GCF_012641465.1-RS_2024_08_07	4352422	Contig	2020-04-21	JABAIK01	211829			Illumina	97.85	0.57
GCA_011045095.1	ASM1104509v1	Grimontia sedimenti	2711294		S25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5135518	Contig	2020-03-01	JAALDL01	208501			IonTorrent	95.15	1.25
GCF_011045095.1	ASM1104509v1	Grimontia sedimenti	2711294		S25					GCF_011045095.1-RS_2024_08_01	5135518	Contig	2020-03-01	JAALDL01	208501			IonTorrent	95.15	1.25
GCA_023634645.1	ASM2363464v1	Vibrio sinus	2946865		S4M6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4782621	Contig	2022-06-01	JAMKMR01	203739			Illumina	94.58	2
GCF_023634645.1	ASM2363464v1	Vibrio sinus	2946865		S4M6					GCF_023634645.1-RS_2024_06_06	4782621	Contig	2022-06-01	JAMKMR01	203739			Illumina	94.58	2
GCA_001854765.1	ASM185476v1	Vibrio sonorensis	1004316		CAIM 1076						4767843	Contig	2016-10-26	LJJE01	189594			IonTorrent	81.43	2.06
GCF_001854765.1	ASM185476v1	Vibrio sonorensis	1004316		CAIM 1076					GCF_001854765.1-RS_2024_05_02	4767843	Contig	2016-10-26	LJJE01	189594			IonTorrent	81.43	2.06
GCA_012275705.1	ASM1227570v1	Vibrio chemaguriensis	2527672		Iso1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5006289	Contig	2020-04-13	SHOE01	188182			Illumina MiSeq	98.96	0.26
GCF_012275705.1	ASM1227570v1	Vibrio chemaguriensis	2527672		Iso1					GCF_012275705.1-RS_2024_06_17	5006289	Contig	2020-04-13	SHOE01	188182			Illumina MiSeq	98.96	0.26
GCA_001029445.1	ASM102944v1	Photobacterium aquae	1195763		CGMCC 1.12159					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5078735	Contig	2015-06-18	LDOT01	183567			Illumina MiSeq	96.94	3.84
GCF_001029445.1	ASM102944v1	Photobacterium aquae	1195763		CGMCC 1.12159					GCF_001029445.1-RS_2024_03_28	5078735	Contig	2015-06-18	LDOT01	183567			Illumina MiSeq	96.94	3.84
GCA_000331515.1	Photobacterium marinum AK15	Photobacterium marinum	1056511		AK15					Annotation submitted by Institute of Microbial Technology	5536962	Contig	2013-01-11	AMZO01	179358			Illumina HiSeq	94.85	5.41
GCF_000331515.1	Photobacterium marinum AK15	Photobacterium marinum	1056511		AK15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5536962	Contig	2013-01-11	AMZO01	179358			Illumina HiSeq	94.85	5.41
GCA_001399455.2	ASM139945v2	Vibrio bivalvicida	1276888		605					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4922047	Scaffold	2016-05-17	LLEI02	173172	191755	91	Illumina MiSeq	99.63	0.17
GCF_001399455.2	ASM139945v2	Vibrio bivalvicida	1276888		605					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4922047	Scaffold	2016-05-17	LLEI02	173172	191755	91	Illumina MiSeq	99.63	0.17
GCA_001939735.1	ASM193973v1	Photobacterium proteolyticum	1903952		13-12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6484429	Scaffold	2017-01-09	MJIL01	172679	174031	101	Illumina HiSeq	95.83	7.7
GCF_001939735.1	ASM193973v1	Photobacterium proteolyticum	1903952		13-12					GCF_001939735.1-RS_2024_05_03	6484429	Scaffold	2017-01-09	MJIL01	172679	174031	101	Illumina HiSeq	95.83	7.7
GCA_900107935.1	IMG-taxon 2617270906 annotated assembly	Vibrio hangzhouensis	462991		CGMCC 1.7062					Annotation submitted by DOE - JOINT GENOME INSTITUTE	5123217	Contig	2016-10-24	FNVG01	171219				99.55	3.79
GCF_900107935.1	IMG-taxon 2617270906 annotated assembly	Vibrio hangzhouensis	462991		CGMCC 1.7062					GCF_900107935.1-RS_2024_04_22	5123217	Contig	2016-10-24	FNVG01	171219				99.55	3.79
GCA_003605645.1	ASM360564v1	Vibrio sinensis	2302434		BEI233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5302048	Contig	2018-10-02	QVMU01	170405			Illumina	99.56	1.75
GCF_003605645.1	ASM360564v1	Vibrio sinensis	2302434		BEI233					GCF_003605645.1-RS_2024_08_07	5302048	Contig	2018-10-02	QVMU01	170405			Illumina	99.56	1.75
GCA_003350325.1	ASM335032v1	Vibrio rhodolitus	2231649		G98						4559723	Scaffold	2018-07-31	QLYZ01	161850	161923	62	Illumina MiSeq	99.82	0.57
GCF_003350325.1	ASM335032v1	Vibrio rhodolitus	2231649		G98					GCF_003350325.1-RS_2024_04_22	4559723	Scaffold	2018-07-31	QLYZ01	161850	161923	62	Illumina MiSeq	99.82	0.57
GCA_009910675.1	ASM991067v1	Photobacterium alginatilyticum	1775171		P03D4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6530165	Contig	2020-01-21	RSEJ01	153422			Illumina	95.61	7.73
GCF_009910675.1	ASM991067v1	Photobacterium alginatilyticum	1775171		P03D4					GCF_009910675.1-RS_2024_08_06	6530165	Contig	2020-01-21	RSEJ01	153422			Illumina	95.61	7.73
GCA_025195085.2	ASM2519508v2	Vibrio intestinalis	2933291		YLB-11						4340292	Scaffold	2023-04-13	JANAVY02	150477	204399	30	IIIumina HiSeq	99.21	1.71
GCF_025195085.2	ASM2519508v2	Vibrio intestinalis	2933291		YLB-11					GCF_025195085.2-RS_2024_06_17	4340292	Scaffold	2023-04-13	JANAVY02	150477	204399	30	IIIumina HiSeq	99.21	1.71
GCA_002811245.1	ASM281124v1	Vibrio salilacus	1323749		DSG-S6						3619996	Contig	2017-12-05	NIVQ01	149445			Illumina HiSeq	99.39	0.33
GCF_002811245.1	ASM281124v1	Vibrio salilacus	1323749		DSG-S6					GCF_002811245.1-RS_2024_05_03	3619996	Contig	2017-12-05	NIVQ01	149445			Illumina HiSeq	99.39	0.33
GCA_001029435.1	ASM102943v1	Photobacterium aphoticum	754436		DSM 25995					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5266181	Contig	2015-06-18	LDOV01	144155			Illumina MiSeq	96.31	3.59
GCF_001029435.1	ASM102943v1	Photobacterium aphoticum	754436		DSM 25995					GCF_001029435.1-RS_2024_03_28	5266181	Contig	2015-06-18	LDOV01	144155			Illumina MiSeq	96.31	3.59
GCA_900100015.1	IMG-taxon 2617270927 annotated assembly	Vibrio xiamenensis	861298		CGMCC 1.10228					Annotation submitted by DOE - JOINT GENOME INSTITUTE	5501246	Scaffold	2016-10-21	FNDD01	141346	141346	82		99.52	4.85
GCF_900100015.1	IMG-taxon 2617270927 annotated assembly	Vibrio xiamenensis	861298		CGMCC 1.10228					GCF_900100015.1-RS_2024_05_03	5501246	Scaffold	2016-10-21	FNDD01	141346	141346	82		99.52	4.85
GCA_002954455.1	ASM295445v1	Photobacterium aquimaris	512643		LC2-065					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4525475	Scaffold	2018-02-27	MSCC01	129079	2500396	10	454	96.25	1.19
GCF_002954455.1	ASM295445v1	Photobacterium aquimaris	512643		LC2-065					GCF_002954455.1-RS_2024_03_29	4525475	Scaffold	2018-02-27	MSCC01	129079	2500396	10	454	96.25	1.19
GCA_004116385.1	CAIM600T.1	Veronia nyctiphanis	1278244		CAIM 600					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5286698	Scaffold	2019-01-28	PEIB01	127144	127144	127	IonTorrent	70.46	2.04
GCF_004116385.1	CAIM600T.1	Veronia nyctiphanis	1278244		CAIM 600					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5286698	Scaffold	2019-01-28	PEIB01	127144	127144	127	IonTorrent	70.46	2.04
GCA_003025615.1	ASM302561v1	Photobacterium frigidiphilum	264736		JCM 12947					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6446463	Contig	2018-03-31	PYMJ01	124641			Illumina MiSeq	99.2	2.39
GCF_003025615.1	ASM302561v1	Photobacterium frigidiphilum	264736		JCM 12947					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6446463	Contig	2018-03-31	PYMJ01	124641			Illumina MiSeq	99.2	2.39
GCA_004551525.1	ASM455152v1	Vibrio ouci	2499078		BEI176					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5483755	Contig	2019-04-01	SATR01	118840			Illumina	99.74	0.61
GCF_004551525.1	ASM455152v1	Vibrio ouci	2499078		BEI176					GCF_004551525.1-RS_2024_08_15	5483755	Contig	2019-04-01	SATR01	118840			Illumina	99.74	0.61
GCA_026191675.1	ASM2619167v1	Vibrio qingdaonensis	2829491		ZSDZ65					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5702673	Contig	2022-11-15	JAKRRY01	117086			Illumina	98.97	1.51
GCF_026191675.1	ASM2619167v1	Vibrio qingdaonensis	2829491		ZSDZ65					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5702673	Contig	2022-11-15	JAKRRY01	117086			Illumina	98.97	1.51
GCA_001996005.1	ASM199600v1	Salinivibrio siamensis	414286		JCM 14472					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3442185	Contig	2017-02-14	MUFB01	114651			Illumina MiSeq	93.59	0.37
GCF_001996005.1	ASM199600v1	Salinivibrio siamensis	414286		JCM 14472					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3442185	Contig	2017-02-14	MUFB01	114651			Illumina MiSeq	93.59	0.37
GCA_015278125.1	ASM1527812v1	Vibrio fluminensis	2783614		A621						4854211	Contig	2020-11-08	JADILO01	111428			Illumina MiSeq	99.28	0.72
GCF_015278125.1	ASM1527812v1	Vibrio fluminensis	2783614		A621					GCF_015278125.1-RS_2024_06_03	4854211	Contig	2020-11-08	JADILO01	111428			Illumina MiSeq	99.28	0.72
GCA_001707825.1	ASM170782v1	Veronia pacifica	1080227		CAIM 1920					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5288133	Contig	2016-08-18	LYBM01	90988			IonTorrent	91.66	1.95
GCF_001707825.1	ASM170782v1	Veronia pacifica	1080227		CAIM 1920					GCF_001707825.1-RS_2024_06_10	5288133	Contig	2016-08-18	LYBM01	90988			IonTorrent	91.66	1.95
GCA_001012815.1	ASM101281v1	Vibrio mexicanus	1004326		CAIM 1540						4811405	Contig	2015-05-22	JYJP01	88203			IonTorrent	73.88	2.49
GCF_001012815.1	ASM101281v1	Vibrio mexicanus	1004326		CAIM 1540					GCF_001012815.1-RS_2024_03_21	4811405	Contig	2015-05-22	JYJP01	88203			IonTorrent	73.88	2.49
GCA_900060185.1	GmarinaCECT8713_SPAdes_Prokka	Grimontia marina	646534		CECT 8713					Annotation submitted by UVEG	5690703	Contig	2016-03-04	FIZY01	81917				99.12	1.61
GCF_900060185.1	GmarinaCECT8713_SPAdes_Prokka	Grimontia marina	646534		CECT 8713					GCF_900060185.1-RS_2024_08_01	5690703	Contig	2016-03-04	FIZY01	81917				99.12	1.61
GCA_900089835.1	VthalassaeCECT8203_Velvet_Prokka	Vibrio thalassae	1243014		CECT8203					Annotation submitted by UVEG	5105314	Scaffold	2017-09-28	OANU01	74766	81977	193		98.51	1.82
GCF_900089835.1	VthalassaeCECT8203_Velvet_Prokka	Vibrio thalassae	1243014		CECT8203					GCF_900089835.1-RS_2024_08_20	5105314	Scaffold	2017-09-28	OANU01	74766	81977	193		98.51	1.82
GCA_030161235.1	ASM3016123v1	Vibrio zhanjiangensis	1046128		NBRC 108723					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	4782196	Scaffold	2023-02-15	BSPW01	71402	73766	124	Illumina	96.41	0.32
GCF_030161235.1	ASM3016123v1	Vibrio zhanjiangensis	1046128		NBRC 108723					GCF_030161235.1-RS_2024_06_02	4782196	Scaffold	2023-02-15	BSPW01	71402	73766	124	Illumina	96.41	0.32
GCA_002156525.1	ASM215652v1	Vibrio celticus	446372		Rd 8.15						5321926	Contig	2017-05-22	MVJF01	68631			Illumina MiSeq	99.83	1.15
GCF_002156525.1	ASM215652v1	Vibrio celticus	446372		Rd 8.15					GCF_002156525.1-RS_2024_03_28	5321926	Contig	2017-05-22	MVJF01	68631			Illumina MiSeq	99.83	1.15
GCA_009874545.1	ASM987454v1	Vibrio eleionomae	2653505		CAIM 722					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5284127	Contig	2020-01-14	WEKT01	65885			Illumina MiniSeq	95.69	5.36
GCF_009874545.1	ASM987454v1	Vibrio eleionomae	2653505		CAIM 722					GCF_009874545.1-RS_2024_05_13	5284127	Contig	2020-01-14	WEKT01	65885			Illumina MiniSeq	95.69	5.36
GCA_024357955.1	ASM2435795v1	Photobacterium pectinilyticum	2906793		ZSDE20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5707840	Scaffold	2022-07-20	JANEYT01	65572	65572	200	Illumina MiSeq	93.86	4.78
GCF_024357955.1	ASM2435795v1	Photobacterium pectinilyticum	2906793		ZSDE20					GCF_024357955.1-RS_2024_09_08	5707840	Scaffold	2022-07-20	JANEYT01	65572	65572	200	Illumina MiSeq	93.86	4.78
GCA_015223435.1	ASM1522343v1	Vibrio hibernica	2587465		B1.19						3425268	Contig	2020-11-03	VHKO01	60909			Illumina MiniSeq	90.89	1.03
GCF_015223435.1	ASM1522343v1	Vibrio hibernica	2587465		B1.19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3425268	Contig	2020-11-03	VHKO01	60909			Illumina MiniSeq	90.89	1.03
GCA_026191655.1	ASM2619165v1	Vibrio paucivorans	2829489		DBSS07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5035848	Contig	2022-11-15	JAKRRX01	26243			Illumina	98.2	1.44
GCF_026191655.1	ASM2619165v1	Vibrio paucivorans	2829489		DBSS07					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5035848	Contig	2022-11-15	JAKRRX01	26243			Illumina	98.2	1.44
GCA_000513715.1	saliniS351.0	Salinivibrio socompensis S35	1308978		S35						3406510	Contig	2014-01-07	AQOD01	25979			IonTorrent	65.56	0.84
GCF_000513715.1	saliniS351.0	Salinivibrio socompensis S35	1308978		S35					GCF_000513715.1-RS_2024_03_28	3406510	Contig	2014-01-07	AQOD01	25979			IonTorrent	65.56	0.84
GCA_009873615.1	ASM987361v1	Photobacterium lucens	2562949		CAIM 1937					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4511596	Scaffold	2020-01-14	SSMG01	16597	17109	494	Illumina MiniSeq	98.72	0.68
GCF_009873615.1	ASM987361v1	Photobacterium lucens	2562949		CAIM 1937					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4511596	Scaffold	2020-01-14	SSMG01	16597	17109	494	Illumina MiniSeq	98.72	0.68
GCA_002749895.1	ASM274989v1	Vibrio fujianensis	1974215		FJ201301						3617632	Scaffold	2017-11-03	NBUS01	11563	378365	54	Illumina HiSeq	94.46	2.58
GCF_002749895.1	ASM274989v1	Vibrio fujianensis	1974215		FJ201301					GCF_002749895.1-RS_2024_05_03	3617632	Scaffold	2017-11-03	NBUS01	11563	378365	54	Illumina HiSeq	94.46	2.58
GCA_001558495.2	ASM155849v2	Vibrio parahaemolyticus	670							NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5152461	Complete Genome	2018-01-31		3286802	3286802	2	PacBio; Illumina	99.57	1.38
GCF_001558495.2	ASM155849v2	Vibrio parahaemolyticus	670		ATCC 17802					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5152461	Complete Genome	2018-01-31		3286802	3286802	2	PacBio; Illumina	99.57	1.38
GCA_000354175.2	ASM35417v2	Vibrio alginolyticus NBRC 15630 = ATCC 17749	1219076		ATCC 17749					Annotation submitted by Jinan Military General Hospital	5146637	Complete Genome	2013-09-10		3334467	3334467	2	454	98.41	1.7
GCF_000354175.2	ASM35417v2	Vibrio alginolyticus NBRC 15630 = ATCC 17749	1219076		ATCC 17749					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5146637	Complete Genome	2013-09-10		3334467	3334467	2	454	98.41	1.7
GCA_009665475.1	ASM966547v1	Vibrio vulnificus	672		2142-77						5079985	Complete Genome	2019-11-18		3294783	3294783	2	PacBio	97.08	1.21
GCF_009665475.1	ASM966547v1	Vibrio vulnificus	672		2142-77					GCF_009665475.1-RS_2024_04_06	5079985	Complete Genome	2019-11-18		3294783	3294783	2	PacBio	97.08	1.21
GCA_023983475.1	ASM2398347v1	Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507	1298605		DSM 507					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4503206	Complete Genome	2022-06-28		2970859	2970859	2	Illumina MiSeq; Oxford Nanopore MinION	93.4	11.62
GCF_023983475.1	ASM2398347v1	Aliivibrio fischeri ATCC 7744 = JCM 18803 = DSM 507	1298605		DSM 507					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4503206	Complete Genome	2022-06-28		2970859	2970859	2	Illumina MiSeq; Oxford Nanopore MinION	93.4	11.62
GCA_024347615.1	ASM2434761v1	Vibrio splendidus	29497		LMG 19031						5879117	Complete Genome	2022-07-13		3869574	3869574	2	Illumina MiSeq; Nanopore	97.16	10.42
GCF_024347615.1	ASM2434761v1	Vibrio splendidus	29497		LMG 19031					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5879117	Complete Genome	2022-07-13		3869574	3869574	2	Illumina MiSeq; Nanopore	97.16	10.42
GCA_001680045.1	ASM168004v1	Vibrio natriegens	691		CCUG 16371					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5161447	Complete Genome	2016-07-06		3311485	3311485	2	PacBio	99.84	2.54
GCF_001680045.1	ASM168004v1	Vibrio natriegens	691		CCUG 16371					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5161447	Complete Genome	2016-07-06		3311485	3311485	2	PacBio	99.84	2.54
GCA_024508015.1	ASM2450801v1	Vibrio natriegens	691		14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5180381	Complete Genome	2022-08-03		3253273	3253273	2	Illumina MiSeq, Oxford Nanopore MiniION	99.93	3.79
GCF_024508015.1	ASM2450801v1	Vibrio natriegens	691		14048					GCF_024508015.1-RS_2024_09_05	5180381	Complete Genome	2022-08-03		3253273	3253273	2	Illumina MiSeq, Oxford Nanopore MiniION	99.93	3.79
GCA_001680025.1	ASM168002v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5168686	Complete Genome	2016-07-06		3241530	3241530	2	PacBio	99.93	3.79
GCF_001680025.1	ASM168002v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5168686	Complete Genome	2016-07-06		3241530	3241530	2	PacBio	99.93	3.79
GCA_035621455.1	ASM3562145v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5105166	Complete Genome	2024-01-14		3178004	3178004	2	Oxford Nanopore; Illumina NextSeq	99.92	3.79
GCF_035621455.1	ASM3562145v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1219067		ATCC 14048					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5105166	Complete Genome	2024-01-14		3178004	3178004	2	Oxford Nanopore; Illumina NextSeq	99.92	3.79
GCA_024347435.1	ASM2434743v1	Vibrio cyclitrophicus	47951		LMG 21359						5277499	Complete Genome	2022-07-13		3415033	3415033	3	Illumina MiSeq; Nanopore	99.34	0.89
GCF_024347435.1	ASM2434743v1	Vibrio cyclitrophicus	47951		LMG 21359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5277499	Complete Genome	2022-07-13		3415033	3415033	3	Illumina MiSeq; Nanopore	99.34	0.89
GCA_022869905.1	ASM2286990v1	Vibrio furnissii	29494		PartQ-Vfurnissii-RM8376					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4993314	Complete Genome	2022-04-11		3275680	3275680	3	Illumina; PacBio	99.48	1.81
GCF_022869905.1	ASM2286990v1	Vibrio furnissii	29494		PartQ-Vfurnissii-RM8376					GCF_022869905.1-RS_2024_04_26	4993314	Complete Genome	2022-04-11		3275680	3275680	3	Illumina; PacBio	99.48	1.81
GCA_041860215.1	ASM4186021v1	Vibrio gazogenes	687		DSM 21264					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4712467	Complete Genome	2024-09-06		3516262	3516262	2	Illumina MiSeq; Oxford Nanopore MinION	91.96	4.2
GCF_041860215.1	ASM4186021v1	Vibrio gazogenes	687		DSM 21264					GCF_041860215.1-RS_2024_09_07	4712467	Complete Genome	2024-09-08		3516262	3516262	2	Illumina MiSeq; Oxford Nanopore MinION	91.96	4.2
GCA_024346915.1	ASM2434691v1	Vibrio gazogenes	687		ATCC 29988						4712453	Complete Genome	2022-07-13		3516247	3516247	2	Illumina MiSeq and Nanopore	91.87	4.2
GCF_024346915.1	ASM2434691v1	Vibrio gazogenes	687		ATCC 29988					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4712453	Complete Genome	2022-07-13		3516247	3516247	2	Illumina MiSeq and Nanopore	91.87	4.2
GCA_024347515.1	ASM2434751v1	Vibrio gigantis	296199		LMG 22741						5826067	Complete Genome	2022-07-13		3575998	3575998	5	Illumina MiSeq; Nanopore	99.59	0.98
GCF_024347515.1	ASM2434751v1	Vibrio gigantis	296199		LMG 22741					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5826067	Complete Genome	2022-07-13		3575998	3575998	5	Illumina MiSeq; Nanopore	99.59	0.98
GCA_003544875.1	ASM354487v1	Vibrio alfacsensis	1074311		CAIM 1831					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4910231	Complete Genome	2018-09-11		3136974	3136974	3	Illumina MiniSeq; Oxford Nanopore MiniION	91.65	0.87
GCF_003544875.1	ASM354487v1	Vibrio alfacsensis	1074311		CAIM 1831					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4910231	Complete Genome	2018-09-11		3136974	3136974	3	Illumina MiniSeq; Oxford Nanopore MiniION	91.65	0.87
GCA_005280275.1	ASM528027v1	Salinivibrio kushneri	1908198		AL184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3443290	Complete Genome	2019-05-11		2840906	2840906	2	Pac BIo	93.51	0.65
